text,sentiment
Saya sangat berterima kasih atas dukungan ini, Positive
Rasa frustrasi ini sulit untuk diatasi, Negative
Kegiatan ini penuh dengan kegembiraan, Positive
Saya merasa sangat kecewa dengan kinerja mereka, Negative
Saya tidak sabar untuk berlibur, Positive
Banyak turis yang mengunjungi tempat ini, Neutral
Saya menghabiskan waktu di pantai ini, Neutral
Kota ini memiliki banyak atraksi wisata, Neutral
Ada berbagai jenis akomodasi di sekitar sini, Neutral
Saya melihat banyak pemandangan menarik di perjalanan, Neutral
Transportasi umum di kota ini cukup baik, Neutral
Banyak restoran yang menawarkan menu berbeda, Neutral
Saya membaca informasi tentang lokasi ini, Neutral
Cuaca hari ini cukup mendukung untuk beraktivitas, Neutral
Saya mengamati banyak aktivitas di sekitar, Neutral
Tempat ini sering dikunjungi oleh wisatawan, Neutral
Saya menemukan beberapa souvenir di toko ini, Neutral
Banyak festival diadakan di daerah ini, Neutral
Saya pergi ke museum untuk melihat pameran, Neutral
Ada banyak tempat makan yang bisa dipilih, Neutral
Saya berjalan-jalan di sekitar taman ini, Neutral
Banyak orang bersepeda di jalur ini, Neutral
Saya menghadiri seminar tentang pariwisata di sini, Neutral
Lokasi ini memiliki sejarah yang menarik, Neutral
Saya melihat pemandangan yang indah di sini, Neutral
Banyak informasi yang tersedia untuk wisatawan, Neutral
Saya menikmati suasana di kafe ini, Neutral
Kota ini terkenal dengan budaya lokalnya, Neutral
Saya mendengar banyak cerita menarik tentang tempat ini, Neutral
Ada sejumlah tempat wisata yang direkomendasikan, Neutral
Saya mengunjungi tempat ini sebagai bagian dari tur, Neutral
Banyak pengunjung yang datang untuk berfoto, Neutral
Saya mengikuti tur untuk menjelajahi area ini, Neutral
Ada banyak aktivitas outdoor yang ditawarkan, Neutral
Saya melihat banyak orang menikmati waktu mereka di sini, Neutral
Tak sekecil jari kelingking! Sampai lokasi ya ampun antrinya panjang amat,Negative
Datanglah ke tempat ini untuk ambil foto yang baik.,Positive
Pemandangannya luar biasa dan kuasa alam yang cantik.,Positive
Tempatnya bagus dan cocok untuk foto-foto.,Positive
Indah tapi curam. Butuh stamina yang kuat jika mau turun.,Negative
Salah satu destinasi alam yang wajib dikunjungi wisatawan apabila berkunjung ke daerah ini.,Positive
Sangat disayangkan kalau tidak mengunjungi pantai ini,Positive
Tempat yang sangat indah pemandangan terbaik.,Positive
Ini merupakan tempat wisata yang saya dan teman-teman kunjungi.,Positive
Tempat ini sangat indah dan menawan.,Positive
Pemandangan yang disuguhkan sangat indah dengan view ombak.,Positive
Tempat ini sangat eksotis bentuknya yang unik menambah daya tarik wisata.,Positive
Pemandangan dari atas sangat menarik.,Positive
Jalan kesini sangat sempit sehingga ngeri sewaktu berpapasan.,Negative
Ini adalah salah satu spot yang wajib dikunjungi.,Positive
Wow saya cuma bisa bilang wow buat trek dan pemandangannya.,Positive
Pengalaman yang luar biasa! Kami naik turun dan bermain air.,Positive
Deburan ombak yang besar dengan warna air yang jernih terasa sangat menyegarkan.,Positive
Tempat ini sangat cantik dan indah suasananya natural.,Positive
Lokasinya sedikit berbatu. Jalanan menantang.,Negative
Berjarak agak jauh dan memerlukan waktu untuk sampai.,Neutral
Saya sangat suka dengan pemandangnya sangat menarik untuk dikunjungi.,Positive
Tempat ini indah banyak pengunjung yang datang ,Positive
Keren sekali Tempat ini, Positive
